file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc,class_type,class_cbo,class_cboModified,class_fanin,class_fanout,class_wmc,class_dit,class_noc,class_rfc,class_lcom,class_lcom*,class_tcc,class_lcc,class_totalMethodsQty,class_staticMethodsQty,class_publicMethodsQty,class_privateMethodsQty,class_protectedMethodsQty,class_defaultMethodsQty,class_visibleMethodsQty,class_abstractMethodsQty,class_finalMethodsQty,class_synchronizedMethodsQty,class_totalFieldsQty,class_staticFieldsQty,class_publicFieldsQty,class_privateFieldsQty,class_protectedFieldsQty,class_defaultFieldsQty,class_finalFieldsQty,class_synchronizedFieldsQty,class_nosi,class_loc,class_returnQty,class_loopQty,class_comparisonsQty,class_tryCatchQty,class_parenthesizedExpsQty,class_stringLiteralsQty,class_numbersQty,class_assignmentsQty,class_mathOperationsQty,class_variablesQty,class_maxNestedBlocksQty,class_anonymousClassesQty,class_innerClassesQty,class_lambdasQty,class_uniqueWordsQty,class_modifiers,class_logStatementsQty
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\database\LotteryTicketRepository.java,com.iluwatar.hexagonal.database.LotteryTicketRepository,deleteAll/0,False,44,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,True,interface,2,10,8,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\database\LotteryTicketRepository.java,com.iluwatar.hexagonal.database.LotteryTicketRepository,findAll/0,False,41,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,True,interface,2,10,8,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\database\LotteryTicketRepository.java,com.iluwatar.hexagonal.database.LotteryTicketRepository,findById/1[com.iluwatar.hexagonal.domain.LotteryTicketId],False,35,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,True,interface,2,10,8,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\database\LotteryTicketRepository.java,com.iluwatar.hexagonal.database.LotteryTicketRepository,save/1[com.iluwatar.hexagonal.database.LotteryTicket],False,38,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,True,interface,2,10,8,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\module\LotteryTestingModule.java,com.iluwatar.hexagonal.module.LotteryTestingModule,configure/0,False,38,6,0,0,0,1,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,False,class,7,9,2,7,1,2,0,2,0,0.0,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryNumbers.java,com.iluwatar.hexagonal.domain.LotteryNumbers,getNumbersAsString/0,False,94,0,1,1,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,True,class,4,17,13,4,8,1,0,9,1,0.71428573,0.0,0.0,7,2,4,3,0,0,4,0,0,0,4,3,3,1,0,0,4,0,1,43,4,1,0,0,0,0,3,7,0,6,1,0,1,0,54,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryNumbers.java,com.iluwatar.hexagonal.domain.LotteryNumbers,create/1[java.util.Set<java.lang.Integer>],False,76,1,9,8,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,True,class,4,17,13,4,8,1,0,9,1,0.71428573,0.0,0.0,7,2,4,3,0,0,4,0,0,0,4,3,3,1,0,0,4,0,1,43,4,1,0,0,0,0,3,7,0,6,1,0,1,0,54,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryNumbers.java,com.iluwatar.hexagonal.domain.LotteryNumbers,createRandom/0,False,67,1,5,4,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,True,class,4,17,13,4,8,1,0,9,1,0.71428573,0.0,0.0,7,2,4,3,0,0,4,0,0,0,4,3,3,1,0,0,4,0,1,43,4,1,0,0,0,0,3,7,0,6,1,0,1,0,54,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryNumbers.java,com.iluwatar.hexagonal.domain.LotteryNumbers,getNumbers/0,False,85,0,3,3,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,True,class,4,17,13,4,8,1,0,9,1,0.71428573,0.0,0.0,7,2,4,3,0,0,4,0,0,0,4,3,3,1,0,0,4,0,1,43,4,1,0,0,0,0,3,7,0,6,1,0,1,0,54,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryNumbers.java,com.iluwatar.hexagonal.domain.LotteryNumbers,generateRandomNumbers/0,False,99,1,3,1,2,2,4,8,0,2,0,4,0,0,1,0,0,0,0,0,2,0,1,0,0,0,22,2,0,True,class,4,17,13,4,8,1,0,9,1,0.71428573,0.0,0.0,7,2,4,3,0,0,4,0,0,0,4,3,3,1,0,0,4,0,1,43,4,1,0,0,0,0,3,7,0,6,1,0,1,0,54,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryNumbers.java,com.iluwatar.hexagonal.domain.LotteryNumbers,LotteryNumbers/0,True,51,1,2,1,1,1,1,4,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,2,0,True,class,4,17,13,4,8,1,0,9,1,0.71428573,0.0,0.0,7,2,4,3,0,0,4,0,0,0,4,3,3,1,0,0,4,0,1,43,4,1,0,0,0,0,3,7,0,6,1,0,1,0,54,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryNumbers.java,com.iluwatar.hexagonal.domain.LotteryNumbers,LotteryNumbers/1[java.util.Set<java.lang.Integer>],True,57,0,1,1,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,True,class,4,17,13,4,8,1,0,9,1,0.71428573,0.0,0.0,7,2,4,3,0,0,4,0,0,0,4,3,3,1,0,0,4,0,1,43,4,1,0,0,0,0,3,7,0,6,1,0,1,0,54,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\App.java,com.iluwatar.hexagonal.App,main/1[java.lang.String[]],False,62,4,2,0,2,1,5,8,0,3,1,5,0,0,0,0,0,0,0,1,3,0,0,0,0,0,11,9,0,True,class,4,4,0,4,1,1,0,5,0,0.0,,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,3,0,3,0,0,0,0,95,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryTicketId.java,com.iluwatar.hexagonal.domain.LotteryTicketId,toString/0,False,46,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,False,class,3,16,13,3,2,1,0,2,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,2,0,1,10,1,0,0,0,0,1,1,2,0,2,0,0,0,0,11,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryTicketId.java,com.iluwatar.hexagonal.domain.LotteryTicketId,LotteryTicketId/0,True,41,0,11,11,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,False,class,3,16,13,3,2,1,0,2,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,2,0,1,10,1,0,0,0,0,1,1,2,0,2,0,0,0,0,11,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\service\ConsoleLottery.java,com.iluwatar.hexagonal.service.ConsoleLottery,printMainMenu/0,False,68,0,1,1,0,1,1,9,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,14,10,7,False,class,7,8,1,7,9,1,0,12,3,0.0,,,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,47,1,1,0,1,0,14,0,8,0,7,3,0,0,0,37,1,9
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\service\ConsoleLottery.java,com.iluwatar.hexagonal.service.ConsoleLottery,readString/1[java.util.Scanner],False,78,0,1,1,0,1,2,4,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,1,False,class,7,8,1,7,9,1,0,12,3,0.0,,,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,47,1,1,0,1,0,14,0,8,0,7,3,0,0,0,37,1,9
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\service\ConsoleLottery.java,com.iluwatar.hexagonal.service.ConsoleLottery,main/1[java.lang.String[]],False,40,6,9,0,9,7,11,32,0,7,1,11,2,1,1,0,1,0,6,0,8,0,3,0,0,0,30,9,1,True,class,7,8,1,7,9,1,0,12,3,0.0,,,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,47,1,1,0,1,0,14,0,8,0,7,3,0,0,0,37,1,9
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryNumbers.java,com.iluwatar.hexagonal.domain.LotteryNumbers$RandomNumberGenerator,nextInt/0,False,129,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,True,innerclass,0,0,0,0,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,1,1,1,1,0,0,0,0,26,10,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryNumbers.java,com.iluwatar.hexagonal.domain.LotteryNumbers$RandomNumberGenerator,"RandomNumberGenerator/2[int,int]",True,120,0,1,1,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,20,1,0,True,innerclass,0,0,0,0,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,1,1,1,1,0,0,0,0,26,10,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\banking\MongoBank.java,com.iluwatar.hexagonal.banking.MongoBank,"connect/2[java.lang.String,java.lang.String]",False,61,1,2,2,0,2,5,8,0,0,2,5,0,0,0,1,0,0,2,0,3,0,1,0,0,0,14,1,0,True,class,8,11,3,8,9,1,0,20,15,0.8,0.0,0.0,7,0,7,0,0,0,7,0,0,0,5,2,0,5,0,0,2,0,3,45,3,0,1,0,0,10,2,10,2,11,1,0,0,1,55,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\banking\MongoBank.java,com.iluwatar.hexagonal.banking.MongoBank,"setFunds/2[java.lang.String,int]",False,73,2,2,2,0,1,3,6,0,3,2,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,10,1,0,False,class,8,11,3,8,9,1,0,20,15,0.8,0.0,0.0,7,0,7,0,0,0,7,0,0,0,5,2,0,5,0,0,2,0,3,45,3,0,1,0,0,10,2,10,2,11,1,0,0,1,55,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\banking\MongoBank.java,com.iluwatar.hexagonal.banking.MongoBank,"MongoBank/2[java.lang.String,java.lang.String]",True,51,1,2,1,1,1,1,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,True,class,8,11,3,8,9,1,0,20,15,0.8,0.0,0.0,7,0,7,0,0,0,7,0,0,0,5,2,0,5,0,0,2,0,3,45,3,0,1,0,0,10,2,10,2,11,1,0,0,1,55,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\banking\MongoBank.java,com.iluwatar.hexagonal.banking.MongoBank,getFunds/1[java.lang.String],False,81,1,2,2,0,1,8,3,1,1,1,8,0,0,0,0,0,0,2,2,0,0,0,0,0,1,6,1,0,False,class,8,11,3,8,9,1,0,20,15,0.8,0.0,0.0,7,0,7,0,0,0,7,0,0,0,5,2,0,5,0,0,2,0,3,45,3,0,1,0,0,10,2,10,2,11,1,0,0,1,55,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\banking\MongoBank.java,com.iluwatar.hexagonal.banking.MongoBank,MongoBank/0,True,46,1,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,True,class,8,11,3,8,9,1,0,20,15,0.8,0.0,0.0,7,0,7,0,0,0,7,0,0,0,5,2,0,5,0,0,2,0,3,45,3,0,1,0,0,10,2,10,2,11,1,0,0,1,55,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\banking\MongoBank.java,com.iluwatar.hexagonal.banking.MongoBank,connect/0,False,56,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,True,class,8,11,3,8,9,1,0,20,15,0.8,0.0,0.0,7,0,7,0,0,0,7,0,0,0,5,2,0,5,0,0,2,0,3,45,3,0,1,0,0,10,2,10,2,11,1,0,0,1,55,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\banking\MongoBank.java,com.iluwatar.hexagonal.banking.MongoBank,"transferFunds/3[int,java.lang.String,java.lang.String]",False,93,1,3,1,2,2,2,12,2,2,3,2,2,1,0,0,0,0,0,0,2,2,1,0,0,0,12,1,0,False,class,8,11,3,8,9,1,0,20,15,0.8,0.0,0.0,7,0,7,0,0,0,7,0,0,0,5,2,0,5,0,0,2,0,3,45,3,0,1,0,0,10,2,10,2,11,1,0,0,1,55,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\MongoEventLog.java,com.iluwatar.hexagonal.eventlog.MongoEventLog,connect/0,False,60,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,True,class,9,12,3,9,10,1,0,18,6,0.6296297,0.0,0.0,9,0,9,0,0,0,9,0,0,0,9,5,1,8,0,0,6,0,5,68,0,0,1,0,0,17,0,14,0,14,1,0,0,0,83,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\MongoEventLog.java,com.iluwatar.hexagonal.eventlog.MongoEventLog,"ticketWon/2[com.iluwatar.hexagonal.eventlog.PlayerDetails,int]",False,108,3,2,1,1,1,7,8,0,1,2,7,0,0,0,0,0,0,2,0,1,0,0,0,0,0,16,1,0,False,class,9,12,3,9,10,1,0,18,6,0.6296297,0.0,0.0,9,0,9,0,0,0,9,0,0,0,9,5,1,8,0,0,6,0,5,68,0,0,1,0,0,17,0,14,0,14,1,0,0,0,83,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\MongoEventLog.java,com.iluwatar.hexagonal.eventlog.MongoEventLog,ticketSubmitError/1[com.iluwatar.hexagonal.eventlog.PlayerDetails],False,88,3,2,1,1,1,6,8,0,1,1,6,0,0,0,0,0,0,2,0,1,0,0,0,0,0,16,1,0,False,class,9,12,3,9,10,1,0,18,6,0.6296297,0.0,0.0,9,0,9,0,0,0,9,0,0,0,9,5,1,8,0,0,6,0,5,68,0,0,1,0,0,17,0,14,0,14,1,0,0,0,83,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\MongoEventLog.java,com.iluwatar.hexagonal.eventlog.MongoEventLog,"prizeError/2[com.iluwatar.hexagonal.eventlog.PlayerDetails,int]",False,121,3,2,1,1,1,7,8,0,1,2,7,0,0,0,0,0,0,2,0,1,0,0,0,0,0,16,1,0,False,class,9,12,3,9,10,1,0,18,6,0.6296297,0.0,0.0,9,0,9,0,0,0,9,0,0,0,9,5,1,8,0,0,6,0,5,68,0,0,1,0,0,17,0,14,0,14,1,0,0,0,83,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\MongoEventLog.java,com.iluwatar.hexagonal.eventlog.MongoEventLog,MongoEventLog/0,True,50,1,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,True,class,9,12,3,9,10,1,0,18,6,0.6296297,0.0,0.0,9,0,9,0,0,0,9,0,0,0,9,5,1,8,0,0,6,0,5,68,0,0,1,0,0,17,0,14,0,14,1,0,0,0,83,1,0
