file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\database\LotteryTicketRepository.java,com.iluwatar.hexagonal.database.LotteryTicketRepository,interface,2,10,8,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\module\LotteryTestingModule.java,com.iluwatar.hexagonal.module.LotteryTestingModule,class,7,9,2,7,1,2,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryNumbers.java,com.iluwatar.hexagonal.domain.LotteryNumbers,class,4,17,13,4,8,1,0,9,1,0.71428573,0.0,0.0,7,2,4,3,0,0,4,0,0,0,4,3,3,1,0,0,4,0,1,43,4,1,0,0,0,0,3,7,0,6,1,0,1,0,54,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\App.java,com.iluwatar.hexagonal.App,class,4,4,0,4,1,1,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,3,0,3,0,0,0,0,95,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryTicketId.java,com.iluwatar.hexagonal.domain.LotteryTicketId,class,3,16,13,3,2,1,0,2,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,2,0,1,10,1,0,0,0,0,1,1,2,0,2,0,0,0,0,11,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\service\ConsoleLottery.java,com.iluwatar.hexagonal.service.ConsoleLottery,class,7,8,1,7,9,1,0,12,3,0.0,NaN,NaN,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,47,1,1,0,1,0,14,0,8,0,7,3,0,0,0,37,1,9
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryNumbers.java,com.iluwatar.hexagonal.domain.LotteryNumbers$RandomNumberGenerator,innerclass,0,0,0,0,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,1,1,1,1,0,0,0,0,26,10,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\banking\MongoBank.java,com.iluwatar.hexagonal.banking.MongoBank,class,8,11,3,8,9,1,0,20,15,0.8,0.0,0.0,7,0,7,0,0,0,7,0,0,0,5,2,0,5,0,0,2,0,3,45,3,0,1,0,0,10,2,10,2,11,1,0,0,1,55,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\MongoEventLog.java,com.iluwatar.hexagonal.eventlog.MongoEventLog,class,9,12,3,9,10,1,0,18,6,0.6296297,0.0,0.0,9,0,9,0,0,0,9,0,0,0,9,5,1,8,0,0,6,0,5,68,0,0,1,0,0,17,0,14,0,14,1,0,0,0,83,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryAdministration.java,com.iluwatar.hexagonal.domain.LotteryAdministration,class,9,14,5,9,8,1,0,14,0,0.33333334,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,2,38,2,1,2,0,0,0,0,9,0,9,3,0,0,0,34,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryTicketCheckResult.java,com.iluwatar.hexagonal.domain.LotteryTicketCheckResult,class,4,9,5,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,0,9,0,0,0,0,0,0,1,2,0,2,0,0,1,0,30,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\LotteryEventLog.java,com.iluwatar.hexagonal.eventlog.LotteryEventLog,interface,1,7,6,1,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\StdOutEventLog.java,com.iluwatar.hexagonal.eventlog.StdOutEventLog,class,3,5,2,3,5,1,0,4,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,7,0,0,2,0,0,0,0,0,47,1,5
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryTicketCheckResult.java,com.iluwatar.hexagonal.domain.LotteryTicketCheckResult$CheckResult,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\sampledata\SampleData.java,com.iluwatar.hexagonal.sampledata.SampleData,class,8,11,3,8,4,1,0,13,1,0.5,0.0,0.0,2,2,1,1,0,0,2,0,0,0,2,2,0,2,0,0,2,0,4,21,1,1,0,0,0,117,1,8,0,9,1,0,0,1,47,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\database\MongoTicketRepositoryTest.java,com.iluwatar.hexagonal.database.MongoTicketRepositoryTest,class,10,10,0,10,4,1,0,22,0,0.5625,0.0,0.0,4,0,0,0,0,4,4,0,0,0,4,3,0,4,0,0,3,0,5,39,0,0,0,0,0,11,7,11,0,11,0,0,0,0,43,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\domain\LotteryTicketCheckResultTest.java,com.iluwatar.hexagonal.domain.LotteryTicketCheckResultTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,3,0,3,0,0,0,0,15,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\service\LotteryConsoleService.java,com.iluwatar.hexagonal.service.LotteryConsoleService,interface,2,3,1,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\banking\WireTransfers.java,com.iluwatar.hexagonal.banking.WireTransfers,interface,0,11,11,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\database\MongoTicketRepository.java,com.iluwatar.hexagonal.database.MongoTicketRepository,class,11,14,3,11,13,1,0,38,13,0.7954546,0.0,0.0,11,0,9,2,0,0,9,0,0,0,8,4,0,8,0,0,4,0,9,68,5,0,1,0,0,21,4,19,0,19,1,0,0,0,64,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryService.java,com.iluwatar.hexagonal.domain.LotteryService,class,9,16,7,9,5,1,0,9,0,0.22222222,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,2,27,3,0,0,0,0,0,0,7,0,7,1,0,0,0,35,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\module\LotteryModule.java,com.iluwatar.hexagonal.module.LotteryModule,class,7,9,2,7,1,2,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\mongo\MongoConnectionPropertiesLoader.java,com.iluwatar.hexagonal.mongo.MongoConnectionPropertiesLoader,class,1,5,4,1,3,1,0,7,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,2,0,2,0,0,2,0,5,22,0,0,1,1,0,8,1,9,0,7,2,0,0,0,36,1,1
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\database\InMemoryTicketRepositoryTest.java,com.iluwatar.hexagonal.database.InMemoryTicketRepositoryTest,class,6,6,0,6,2,1,0,11,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,1,16,0,0,0,0,0,0,1,5,0,5,0,0,0,0,19,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryUtils.java,com.iluwatar.hexagonal.domain.LotteryUtils,class,4,6,2,4,4,1,0,5,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,1,1,0,1,2,0,0,0,19,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\banking\InMemoryBank.java,com.iluwatar.hexagonal.banking.InMemoryBank,class,1,4,3,1,5,1,0,3,0,0.0,0.0,0.0,3,0,3,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,22,3,0,0,0,0,0,2,1,2,1,1,0,0,0,18,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\domain\LotteryTicketIdTest.java,com.iluwatar.hexagonal.domain.LotteryTicketIdTest,class,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,4,0,0,0,0,17,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\administration\ConsoleAdministration.java,com.iluwatar.hexagonal.administration.ConsoleAdministration,class,8,9,1,8,8,1,0,12,3,0.0,NaN,NaN,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,44,1,1,0,1,0,12,1,8,0,7,3,0,0,0,33,1,8
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\administration\ConsoleAdministrationSrv.java,com.iluwatar.hexagonal.administration.ConsoleAdministrationSrv,interface,0,1,1,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\banking\MongoBankTest.java,com.iluwatar.hexagonal.banking.MongoBankTest,class,9,9,0,9,5,1,0,21,0,0.62857145,0.0,0.0,5,2,0,0,0,5,5,0,0,0,7,6,0,7,0,0,2,0,3,38,0,0,0,0,0,13,8,7,1,7,0,0,0,0,38,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\database\InMemoryTicketRepository.java,com.iluwatar.hexagonal.database.InMemoryTicketRepository,class,3,5,2,3,4,1,0,5,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,2,17,3,0,0,0,0,0,0,2,0,2,0,0,0,0,18,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\service\LotteryConsoleServiceImpl.java,com.iluwatar.hexagonal.service.LotteryConsoleServiceImpl,class,10,12,2,10,10,1,0,18,0,0.0,0.0,0.0,6,0,5,1,0,0,5,0,0,0,1,0,0,1,0,0,1,0,8,67,1,0,0,2,0,21,1,18,0,19,2,0,0,2,66,1,18
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\AppTest.java,com.iluwatar.hexagonal.AppTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\domain\LotteryTest.java,com.iluwatar.hexagonal.domain.LotteryTest,class,12,12,0,12,5,1,0,20,1,0.5833333,0.0,0.0,3,0,0,0,0,3,3,0,0,0,4,0,0,4,0,0,1,0,7,42,0,1,0,0,0,13,19,9,0,12,2,0,0,0,35,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\domain\PlayerDetailsTest.java,com.iluwatar.hexagonal.domain.PlayerDetailsTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,3,0,3,0,0,0,0,13,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\domain\LotteryTicketTest.java,com.iluwatar.hexagonal.domain.LotteryTicketTest,class,5,5,0,5,1,1,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,9,12,9,0,9,0,0,0,0,22,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\test\LotteryTestUtils.java,com.iluwatar.hexagonal.test.LotteryTestUtils,class,5,8,3,5,2,1,0,3,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,10,2,0,0,0,0,3,4,2,0,2,0,0,0,0,17,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\banking\InMemoryBankTest.java,com.iluwatar.hexagonal.banking.InMemoryBankTest,class,3,3,0,3,1,1,0,5,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,13,0,0,0,0,0,9,8,1,0,1,0,0,0,0,14,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\domain\LotteryNumbersTest.java,com.iluwatar.hexagonal.domain.LotteryNumbersTest,class,2,2,0,2,4,1,0,12,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,11,25,0,0,0,0,0,0,26,6,0,6,0,0,0,1,21,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryConstants.java,com.iluwatar.hexagonal.domain.LotteryConstants,class,0,0,0,0,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,5,5,5,0,0,0,5,0,0,9,0,0,0,0,0,1,4,5,0,5,0,0,0,0,23,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\administration\ConsoleAdministrationSrvImpl.java,com.iluwatar.hexagonal.administration.ConsoleAdministrationSrvImpl,class,4,5,1,4,4,1,0,6,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,20,0,0,0,0,0,4,0,3,0,5,0,0,0,1,25,1,4
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\eventlog\MongoEventLogTest.java,com.iluwatar.hexagonal.eventlog.MongoEventLogTest,class,7,7,0,7,3,1,0,13,0,0.44444445,0.0,0.0,3,0,0,0,0,3,3,0,0,0,3,2,0,3,0,0,2,0,4,38,0,0,0,0,0,7,15,5,0,5,0,0,0,0,32,0,0
